"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,10,27,14,915,2
2013,12,13,16,328,1
2013,10,17,23,910,2
2013,10,17,23,914,1
2013,12,13,16,322,1
2013,12,13,16,323,1
2013,10,28,14,786,1
2013,12,16,4,513,1
2013,11,2,8,634,1
2013,11,2,8,635,2
2013,12,16,15,2343,2
2013,12,16,15,2342,2
2013,12,16,15,2345,1
2013,12,16,19,848,1
2013,12,16,19,847,1
2013,12,16,19,846,1
2013,12,9,2,822,1
2013,12,16,19,840,1
2013,11,7,11,889,1
2013,11,29,12,328,1
2013,12,11,21,2333,2
2013,12,11,21,2335,4
2013,12,11,21,2336,5
2013,12,21,5,415,1
2013,12,25,12,934,1
2013,12,23,22,158,1
2013,11,30,16,181,1
2013,12,11,20,898,3
2013,10,29,15,940,1
2013,10,9,23,868,1
2013,12,10,13,328,1
2013,11,2,22,513,2
2013,12,15,7,634,1
2013,11,10,13,358,2
2013,10,18,11,864,1
2013,10,1,23,133,2
2013,11,9,23,663,1
2013,10,19,14,323,2
2013,11,27,10,440,1
2013,10,19,14,328,2
2013,12,11,7,353,4
2013,12,6,17,371,1
2013,11,28,23,363,1
2013,10,27,11,934,2
2013,12,31,10,178,1
2013,10,10,11,170,2
2013,12,18,20,132,1
2013,10,21,14,132,1
2013,12,14,20,804,6
2013,10,2,18,711,2
2013,11,3,17,584,1
2013,12,13,7,157,1
2013,12,19,17,2345,2
2013,10,30,17,2345,2
2013,11,1,22,934,3
2013,12,8,18,850,2
2013,12,2,16,315,2
2013,12,19,8,128,1
2013,12,4,1,322,1
2013,12,9,2,133,1
2013,11,2,20,821,1
2013,10,30,8,413,1
2013,11,7,23,635,1
2013,11,7,23,634,2
2013,9,27,17,385,2
2013,9,27,17,388,2
2013,11,25,20,378,1
2013,11,26,13,924,1
2013,11,7,15,871,1
2013,12,14,2,869,1
2013,11,1,21,934,2
2013,11,1,21,935,1
2013,12,21,5,513,1
2013,12,21,5,512,3
2013,10,19,13,329,1
2013,10,19,13,328,3
2013,12,18,21,462,1
2013,11,6,20,2801,1
2013,10,19,13,321,1
2013,10,3,8,323,1
2013,12,21,23,158,1
2013,10,7,15,884,1
2013,11,10,23,821,1
2013,12,16,10,901,1
2013,11,27,5,634,1
2013,11,1,22,201,1
2013,10,18,9,474,2
2013,9,29,4,634,10
2013,10,21,13,202,2
2013,12,6,9,497,1
2013,12,11,8,339,1
2013,10,7,14,634,1
2013,10,7,14,635,1
2013,10,3,16,298,1
2013,12,13,15,884,1
2013,11,11,23,161,3
2013,11,9,12,305,1
2013,11,11,23,162,1
2013,11,25,15,498,1
2013,12,16,20,249,2
2013,12,24,23,822,3
2013,12,24,23,821,4
2013,12,24,23,825,4
2013,12,24,23,824,1
2013,12,16,20,247,1
2013,12,21,21,804,1
2013,12,22,18,398,3
2013,11,9,11,305,2
2013,10,16,21,634,1
2013,11,28,8,157,1
2013,12,6,22,850,1
2013,12,17,16,570,1
2013,10,16,21,639,2
2013,11,10,20,821,1
2013,12,16,20,790,1
2013,11,11,19,247,2
2013,12,27,17,898,1
2013,12,20,19,126,1
2013,12,20,19,128,1
2013,11,23,22,124,1
2013,12,27,17,895,1
2013,12,30,23,849,2
2013,12,22,22,329,1
2013,12,22,22,328,1
2013,12,30,23,840,1
2013,12,30,23,841,1
2013,12,10,10,2015,1
2013,10,20,19,484,1
2013,10,11,19,378,6
2013,10,11,19,379,2
2013,9,30,20,864,1
2013,10,11,19,370,2
2013,10,11,19,371,6
2013,10,11,19,375,1
2013,12,23,4,136,1
2013,12,23,4,133,1
2013,10,7,15,313,1
2013,10,7,15,318,2
2013,11,3,21,821,1
2013,11,3,7,934,2
2013,10,11,20,2345,1
2013,10,11,20,2343,1
2013,12,15,18,935,1
2013,10,27,18,638,2
2013,10,19,21,2343,3
2013,12,7,12,154,1
2013,12,9,16,821,1
2013,12,9,16,822,4
2013,12,17,15,838,2
2013,10,5,20,512,1
2013,12,17,15,832,2
2013,11,9,22,329,1
2013,10,1,14,422,6
2013,11,9,22,322,1
2013,11,9,22,323,3
2013,11,9,22,321,1
2013,11,4,22,405,1
2013,11,4,22,401,1
2013,12,20,20,209,1
2013,12,31,9,498,1
2013,10,7,7,329,1
2013,10,7,7,328,1
2013,10,30,20,901,1
2013,11,6,21,825,1
2013,12,9,5,771,1
2013,10,17,2,901,2
2013,10,16,13,2801,1
2013,11,25,17,901,1
2013,12,17,8,901,2
2013,12,17,8,906,2
2013,10,16,6,2345,2
2013,11,5,10,210,1
2013,12,26,5,839,1
2013,12,20,7,315,1
